-----------epoch0-----------
loss:0.9753887 acc:0.05704697986577181
loss:0.8311785 acc:0.07664233576642336
loss:0.63801557 acc:0.11956521739130435
loss:0.48628393 acc:0.4583333333333333
loss:0.39326164 acc:0.3333333333333333
loss:0.34113306 acc:0.2
loss:0.2911218 acc:0.3333333333333333
loss:0.22730152 acc:0.46153846153846156
loss:0.25605816 acc:0.25
loss:0.20432596 acc:0.4074074074074074
loss:0.2121053 acc:0.23333333333333334
--------------------val_loss:0.18944682 val_acc:0.2892561983471074
loss:0.1978825 acc:0.3793103448275862
loss:0.14966539 acc:0.4166666666666667
loss:0.1552812 acc:0.36
loss:0.21307635 acc:0.3333333333333333
loss:0.21596067 acc:0.39285714285714285
loss:0.16829234 acc:0.36
loss:0.20078914 acc:0.44
loss:0.2789381 acc:0.34375
loss:0.1814567 acc:0.4166666666666667
loss:0.17764431 acc:0.5
--------------------val_loss:0.2017817 val_acc:0.2892561983471074
loss:0.22803053 acc:0.32142857142857145
loss:0.14565763 acc:0.5217391304347826
loss:0.2745211 acc:0.2727272727272727
loss:0.20464242 acc:0.38461538461538464
loss:0.11604972 acc:0.5454545454545454
loss:0.14149915 acc:0.43478260869565216
loss:0.23539415 acc:0.3
loss:0.16125259 acc:0.391304347826087
loss:0.15312427 acc:0.47619047619047616
loss:0.14775188 acc:0.5714285714285714
--------------------val_loss:0.18151906 val_acc:0.34408602150537637
loss:0.12917694 acc:0.5
loss:0.22278722 acc:0.28
loss:0.13555646 acc:0.5217391304347826
loss:0.16449037 acc:0.34782608695652173
loss:0.20881243 acc:0.2916666666666667
loss:0.17912963 acc:0.4090909090909091
loss:0.24347739 acc:0.26666666666666666
loss:0.15345992 acc:0.4090909090909091
loss:0.16221671 acc:0.4
loss:0.13404201 acc:0.5
--------------------val_loss:0.1680148 val_acc:0.34375
loss:0.18461774 acc:0.4230769230769231
loss:0.18170676 acc:0.34782608695652173
loss:0.18139872 acc:0.46153846153846156
loss:0.1374708 acc:0.5217391304347826
loss:0.18608591 acc:0.22727272727272727
loss:0.1837038 acc:0.36363636363636365
