-----------epoch0-----------
loss:0.70100445 acc:0.0392156862745098
loss:0.6858939 acc:0.0
loss:0.6619798 acc:0.08450704225352113
loss:0.62262315 acc:0.12962962962962962
loss:0.59718883 acc:0.14
loss:0.5661517 acc:0.13043478260869565
loss:0.5336615 acc:0.13953488372093023
loss:0.52903575 acc:0.17142857142857143
loss:0.5012742 acc:0.22857142857142856
loss:0.48719057 acc:0.16666666666666666
loss:0.4975666 acc:0.034482758620689655
--------------------val_loss:0.48243102 val_acc:0.14953271028037382
loss:0.4959936 acc:0.21739130434782608
loss:0.4798289 acc:0.15151515151515152
loss:0.47930884 acc:0.05
loss:0.4330813 acc:0.0
loss:0.4361406 acc:0.08695652173913043
loss:0.48614797 acc:0.03125
loss:0.49652442 acc:0.17857142857142858
loss:0.42444038 acc:0.36363636363636365
loss:0.4257463 acc:0.28
loss:0.45430818 acc:0.2
--------------------val_loss:0.46745867 val_acc:0.1574074074074074
loss:0.4376834 acc:0.2727272727272727
loss:0.48657036 acc:0.19230769230769232
loss:0.45558882 acc:0.2222222222222222
loss:0.4356699 acc:0.18518518518518517
loss:0.5223707 acc:0.18518518518518517
loss:0.40483856 acc:0.30434782608695654
loss:0.45472383 acc:0.25
loss:0.46230268 acc:0.17391304347826086
loss:0.4261872 acc:0.25
loss:0.41305122 acc:0.13636363636363635
--------------------val_loss:0.43449053 val_acc:0.18478260869565216
loss:0.46694022 acc:0.14814814814814814
loss:0.40145692 acc:0.18181818181818182
loss:0.42178506 acc:0.10526315789473684
loss:0.44386348 acc:0.0
loss:0.37059134 acc:0.125
loss:0.46090704 acc:0.21739130434782608
loss:0.4804542 acc:0.18181818181818182
loss:0.44524926 acc:0.11538461538461539
loss:0.49759522 acc:0.21739130434782608
loss:0.45060533 acc:0.1
--------------------val_loss:0.4266014 val_acc:0.12
loss:0.4435771 acc:0.20689655172413793
loss:0.38881382 acc:0.3
loss:0.4347415 acc:0.23809523809523808
loss:0.42059344 acc:0.35
loss:0.42431706 acc:0.21739130434782608
