img_name,img_class,img_bbox,seg_class,seg_obj,bbox_label
2007_007048,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[['227', '55', '500', '324'], ['82', '56', '245', '257'], ['76', '42', '129', '151'], ['431', '1', '484', '62'], ['311', '1', '427', '71'], ['114', '1', '240', '59'], ['1', '1', '132', '329']]",1.0,1.0,"['sheep', 'sheep', 'bottle', 'person', 'person', 'person', 'person']"
2011_000888,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[['435', '11', '290', '64'], ['369', '332', '177', '144']]",1.0,1.0,"['bus', 'person']"
2007_007902,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[['320', '49', '486', '154'], ['1', '57', '232', '316'], ['367', '1', '458', '110'], ['1', '48', '189', '213']]",1.0,1.0,"['motorbike', 'motorbike', 'person', 'person']"
2008_008773,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[['27', '254', '285', '376'], ['381', '151', '460', '301'], ['221', '215', '312', '376'], ['1', '215', '58', '367'], ['25', '333', '192', '376'], ['235', '194', '286', '221'], ['218', '180', '229', '207']]",1.0,1.0,"['diningtable', 'chair', 'chair', 'chair', 'chair', 'chair', 'bottle']"
2009_004099,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['261', '182', '195', '88'], ['500', '262', '333', '1']]",1.0,1.0,"['cat', 'sofa']"
2010_001282,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['500', '253', '333', '92']]",1.0,1.0,['dog']
2009_003481,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['390', '111', '320', '169'], ['171', '64', '256', '100'], ['364', '158', '186', '111']]",1.0,1.0,"['horse', 'horse', 'horse']"
2009_000029,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['375', '1', '497', '132']]",1.0,1.0,['dog']
2009_002415,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[['375', '1', '351', '1'], ['346', '70', '500', '25']]",1.0,1.0,"['diningtable', 'chair']"
2010_001131,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[['375', '1', '500', '336'], ['296', '1', '357', '1'], ['352', '256', '496', '205']]",1.0,1.0,"['diningtable', 'person', 'bottle']"
