img_name,img_class,img_bbox,seg_class,seg_obj,bbox_label
2010_004157,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['499', '1', '293', '19']]",,,['cat']
2012_003811,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['56', '11', '277', '151']]",,,['person']
2012_001460,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['230', '142', '229', '53']]",,,['person']
2008_006392,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['1', '228', '95', '343'], ['77', '198', '101', '266'], ['127', '207', '203', '368'], ['211', '190', '252', '283'], ['437', '166', '456', '236']]",,,"['car', 'person', 'person', 'person', 'person']"
2010_001979,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['395', '123', '265', '88']]",,,['aeroplane']
2008_006014,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[['199', '175', '283', '194'], ['251', '169', '272', '188'], ['262', '168', '279', '186'], ['235', '160', '257', '189'], ['217', '161', '232', '184'], ['204', '166', '218', '183']]",,,"['boat', 'person', 'person', 'person', 'person', 'person']"
2007_003659,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['181', '130', '210', '164']]",,,['person']
2010_000669,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]","[['230', '1', '373', '301'], ['122', '53', '316', '267'], ['111', '1', '374', '314'], ['271', '200', '176', '124'], ['384', '309', '178', '73']]",,,"['diningtable', 'chair', 'chair', 'tvmonitor', 'pottedplant']"
2008_003447,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['118', '82', '393', '366'], ['204', '129', '283', '374']]",,,"['horse', 'person']"
2008_002115,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[['21', '21', '262', '340'], ['231', '1', '500', '319']]",,,"['person', 'motorbike']"
2011_007202,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['403', '16', '333', '46']]",,,['person']
2010_000465,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['283', '227', '208', '129']]",,,['cow']
2009_004677,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[['472', '1', '336', '92'], ['500', '488', '210', '155'], ['487', '475', '203', '161']]",,,"['train', 'person', 'person']"
2009_004855,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['492', '3', '372', '1']]",,,['dog']
2008_008437,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['39', '27', '412', '330'], ['6', '160', '29', '189']]",,,"['cow', 'cow']"
